season,Team,ShotsTarget,Goals,ratio
season-0910,Man City,252,73,0.2896825396825397
season-1011,Man United,310,78,0.25161290322580643
season-1112,Man United,369,89,0.24119241192411925
season-1213,Man United,299,86,0.28762541806020064
season-1314,Man City,238,102,0.42857142857142855
season-1415,Man City,228,83,0.36403508771929827
season-1516,Leicester,181,68,0.3756906077348066
season-1617,Chelsea,204,85,0.4166666666666667
season-1718,Man City,261,106,0.4061302681992337
season-1819,Arsenal,170,73,0.4294117647058823
